Ticker,Date,Open,High,Low,Close,Volume
AAPL,2025-12-08,338.45,351.93,326.05,331.13,69666913
MSFT,2025-01-13,235.39,237.04,232.54,236.15,29594369
NVDA,2025-05-20,147.59,152.14,147.02,150.89,14807813
AMZN,2025-06-11,268.05,277.22,254.43,259.51,65366026
AMZN,2025-04-01,114.72,116.35,101.44,102.65,21873472
GOOG,2025-06-11,109.44,120.87,104.19,119.75,33258828
AAPL,2025-12-27,250.93,263.03,249.38,260.44,25013064
AAPL,2025-04-05,140.49,148.19,130.74,142.11,51064722
NVDA,2025-11-22,175.92,189.47,164.18,175.65,77283572
MSFT,2025-05-27,91.91,93.63,85.53,92.15,79792844
GOOG,2025-09-19,150.53,163.73,147.58,156.36,66590000
NVDA,2025-02-13,138.94,146.12,125.58,141.38,45467793
MSFT,2025-07-08,125.11,139.86,110.87,111.65,87426604
TSLA,2025-10-06,367.88,382.28,367.17,372.43,54413281
TSLA,2025-08-06,278.16,281.2,275.32,278.59,80877559
NVDA,2025-02-11,110.85,114.78,100.4,108.12,67545913
AAPL,2025-12-03,328.57,330.29,327.31,328.86,19293113
MSFT,2025-02-14,275.44,287.79,267.99,282.06,23600469
AAPL,2025-04-02,202.36,210.25,199.03,202.31,77244787
MSFT,2025-02-16,166.07,174.5,160.08,172.78,49769815
NVDA,2025-12-10,135.89,145.87,131.23,134.77,23957636
GOOG,2025-02-02,87.0,93.78,78.17,86.66,20940650
GOOG,2025-11-12,295.12,300.08,290.84,292.74,85333657
GOOG,2025-04-08,119.07,123.41,108.2,109.71,3177792
TSLA,2025-09-05,261.19,264.13,255.53,263.1,75116537
NVDA,2025-02-24,158.2,170.48,157.07,170.08,63072521
MSFT,2025-03-25,111.12,119.94,110.93,115.09,52276254
TSLA,2025-11-04,208.74,217.84,206.13,214.2,14587510
NVDA,2025-09-25,166.49,180.8,151.69,174.85,47123945
TSLA,2025-02-05,313.53,314.59,302.62,310.91,36920413
GOOG,2025-12-24,392.46,397.3,382.06,393.65,86339074
NVDA,2025-05-05,324.09,334.01,312.11,328.94,13933797
AAPL,2025-11-16,248.71,256.42,234.45,253.24,6225898
TSLA,2025-12-03,146.84,157.01,140.5,153.53,84874226
AAPL,2025-04-22,227.17,235.6,219.25,232.79,28128212
TSLA,2025-11-10,162.79,176.62,149.41,153.56,80902393
AMZN,2025-02-05,218.25,220.13,211.87,216.79,28565388
NVDA,2025-01-24,110.76,113.52,108.48,111.7,63893083
AMZN,2025-11-02,388.51,396.01,381.77,392.79,40042169
AMZN,2025-01-19,305.39,312.97,304.75,309.59,28063068
TSLA,2025-01-03,223.05,224.74,212.82,219.21,8961011
GOOG,2025-10-22,301.13,306.3,296.13,300.62,35209480
AMZN,2025-07-04,124.09,136.83,111.35,121.77,52693002
TSLA,2025-09-28,252.7,261.3,243.85,258.05,38928313
GOOG,2025-05-22,224.37,230.12,214.73,214.82,28241719
NVDA,2025-02-01,314.17,322.85,303.28,309.89,57337759
NVDA,2025-09-23,159.21,170.28,152.19,154.62,13608536
TSLA,2025-04-18,252.01,261.67,243.86,256.53,28223166
TSLA,2025-03-04,389.17,396.66,384.47,386.16,32593655
MSFT,2025-04-05,110.33,115.71,97.51,103.35,45367377
TSLA,2025-10-19,312.84,327.01,297.94,298.64,12535267
GOOG,2025-07-08,179.52,190.59,165.09,178.91,47080900
GOOG,2025-05-08,246.14,248.86,233.55,238.87,10388532
AAPL,2025-05-06,267.4,270.61,266.96,270.2,8355320
GOOG,2025-01-04,280.07,291.37,268.55,290.63,5517221
GOOG,2025-02-09,347.07,347.51,335.89,339.84,89208364
MSFT,2025-04-04,150.6,155.57,136.77,137.38,16565166
AMZN,2025-02-09,386.84,392.93,386.55,392.17,12416094
AMZN,2025-06-08,142.1,153.55,132.75,134.53,79834302
TSLA,2025-10-12,192.11,202.93,178.78,195.87,83897501
