CampaignID,Channel,Impressions,Clicks,Spend,CTR
CM00001,Search,61398,3511,4194.57,5.72
CM00002,Search,11560,1619,8086.76,14.01%
CM00003,Display,61809,1927,7555.34,3.12
CM00004,Search,78601,1361,3802.25,1.73
CM00005,Affiliate,82443,2863,1864.11,3.47
CM00006,Display,43609,3045,1441.13,6.98
CM00007,Display,36671,1945,2306.1,5.3
CM00008,Social,76636,999,3626.39,1.3
CM00009,Email,56877,,8381.28,2.17
CM00010,Affiliate,14333,1307,6908.12,9.12%
CM00011,Social,68205,,6192.53,4.99
CM00012,Email,87485,694,7952.46,0.79
CM00013,Email,25964,3359,7200.24,12.94
CM00014,Email,51696,3412,4709.32,6.6
CM00015,Search,26702,3878,1625.21,14.52%
CM00016,Social,46829,1132,2809.48,2.42%
CM00017,Email,28262,3325,3236.55,11.76
CM00018,Affiliate,40766,1805,8182.29,4.43
CM00019,Display,49706,1338,4623.42,2.69
CM00020,Display,2985,855,7786.32,28.64%
CM00021,Display,31340,,8258.01,10.2
CM00022,Social,81736,348,6650.2,0.43
CM00023,Search,15944,896,1125.45,5.62
CM00024,Affiliate,52323,2771,7884.03,5.3
CM00025,Social,73274,1522,4837.77,2.08
CM00026,Search,N/A,2749,3037.19,6.02
CM00027,Social,39314,3708,4130.35,9.43
CM00028,Search,81550,1324,5316.74,1.62
CM00029,Search,40632,2845,1381.89,7.0%
CM00030,Email,N/A,170,624.34,0.22
CM00031,Display,67261,602,8936.75,0.9
CM00032,Affiliate,9250,1474,3470.33,15.94
CM00033,Social,N/A,2587,3025.41,4.15
CM00034,Email,84282,2309,691.01,2.74
CM00035,Search,N/A,2532,6284.26,4.0
