SaleID,Store,Product,Qty,Price
SL000001,Store04,Gizmo,8,154.74
SL000002,Store03,Bolt,4,7.45
SL000003,Store02,Nut,1,134.51
SL000004,Store01,Gadget,two,171.31
SL000005,Store01,Widget,-1,110.42
SL000006,Store04,Widget,6,191.07
SL000007,Store03,Gizmo,1,182.46
SL000008,Store02,Gadget,6,40.74
SL000009,Store04,Cog,6,41.89
SL000010,Store04,Nut,11,119.09
SL000011,Store02,Nut,4,103.73
SL000012,Store04,Nut,7,171.09
SL000013,Store04,Gizmo,4,40.72
SL000014,Store02,Doohickey,12,147.88
SL000015,Store01,Gadget,1,57.33
SL000016,Store02,Cog,two,133.31
SL000017,Store02,Doohickey,-1,130.14
SL000018,Store02,Nut,3,127.29
SL000019,Store02,Doohickey,8,4.21
SL000020,Store01,Sprocket,9,141.72
SL000021,Store04,Widget,11,90.0
SL000022,Store03,Nut,5,USD37.11
SL000023,Store02,Widget,2,167.93
SL000024,Store03,Cog,two,181.41
SL000025,Store03,Gadget,3,176.82
SL000026,Store02,Gizmo,two,73.92
SL000027,Store04,Nut,1,106.78
SL000028,Store04,Gadget,-2,146.31
SL000029,Store01,Nut,8,150.11
SL000030,Store01,Widget,10,173.37
SL000031,Store02,Gadget,9,USD143.24
SL000032,Store01,Cog,3,118.33
SL000033,Store01,Gizmo,-3,86.61
SL000034,Store02,Doohickey,6,199.0
SL000035,Store03,Bolt,1,57.87
SL000036,Store02,Nut,1,93.15
SL000037,Store02,Gadget,5,USD7.51
SL000038,Store03,Bolt,12,166.44
SL000039,Store02,Doohickey,12,59.06
SL000040,Store02,Cog,5,34.93
SL000041,Store01,Widget,12,36.84
SL000042,Store02,Gadget,1,114.8
SL000043,Store02,Gizmo,2,9.8
SL000044,Store03,Bolt,8,17.69
SL000045,Store03,Doohickey,2,165.21
SL000046,Store02,Cog,9,130.29
SL000047,Store04,Cog,11,151.12
SL000048,Store02,Widget,3,197.16
SL000049,Store03,Bolt,2,70.98
SL000050,Store01,Bolt,2,96.81
SL000051,Store04,Nut,-3,191.18
SL000052,Store03,Nut,11,129.49
SL000053,Store01,Sprocket,6,USD153.54
SL000054,Store03,Gizmo,4,6.48
SL000055,Store02,Gizmo,8,182.66
SL000056,Store03,Gadget,9,134.87
SL000057,Store02,Widget,1,145.0
SL000058,Store03,Doohickey,8,USD33.33
SL000059,Store02,Cog,5,183.34
SL000060,Store02,Gadget,7,USD99.69
SL000061,Store04,Gizmo,two,65.59
SL000062,Store02,Bolt,2,100.54
SL000063,Store04,Widget,8,119.6
SL000064,Store03,Bolt,9,77.32
SL000065,Store04,Widget,-2,7.56
SL000066,Store03,Gizmo,3,26.34
SL000067,Store02,Bolt,5,22.07
SL000068,Store02,Doohickey,6,114.99
SL000069,Store04,Nut,1,75.65
SL000070,Store03,Cog,8,70.88
SL000071,Store04,Bolt,9,194.23
SL000072,Store01,Gadget,9,159.47
SL000073,Store01,Gadget,1,67.16
SL000074,Store01,Gizmo,12,166.33
SL000075,Store04,Widget,10,126.85
SL000076,Store01,Sprocket,10,162.47
SL000077,Store01,Bolt,1,59.31
SL000078,Store04,Widget,9,17.32
SL000079,Store02,Sprocket,2,22.85
SL000080,Store03,Sprocket,-5,36.33
SL000081,Store02,Sprocket,4,23.2
SL000082,Store02,Nut,10,60.08
SL000083,Store02,Sprocket,8,USD109.4
SL000084,Store02,Cog,3,74.12
SL000085,Store01,Gizmo,12,176.53
SL000086,Store01,Gizmo,-1,94.78
SL000087,Store01,Doohickey,1,17.26
SL000088,Store04,Cog,10,89.27
SL000089,Store03,Widget,3,99.63
SL000090,Store04,Gizmo,7,198.27
SL000091,Store02,Gadget,1,USD115.91
SL000092,Store02,Gizmo,two,26.23
SL000093,Store03,Cog,6,99.62
SL000094,Store01,Gadget,8,22.48
SL000095,Store01,Doohickey,9,USD135.03
SL000096,Store02,Doohickey,3,99.33
SL000097,Store02,Gadget,2,112.03
SL000098,Store04,Gizmo,9,41.49
SL000099,Store01,Bolt,5,34.06
SL000100,Store02,Widget,two,69.97
SL000101,Store04,Cog,10,174.59
SL000102,Store01,Gadget,10,19.78
SL000103,Store01,Bolt,two,81.21
SL000104,Store01,Doohickey,2,19.77
SL000105,Store04,Gizmo,3,122.8
SL000106,Store03,Gadget,2,173.22
SL000107,Store01,Gadget,4,160.33
SL000108,Store04,Gizmo,4,1.72
SL000109,Store03,Sprocket,2,31.49
SL000110,Store02,Widget,10,9.75
SL000111,Store03,Cog,6,15.69
SL000112,Store01,Bolt,10,175.5
SL000113,Store01,Gizmo,12,146.61
SL000114,Store04,Widget,1,103.02
SL000115,Store01,Doohickey,11,26.09
SL000116,Store02,Widget,1,34.43
SL000117,Store03,Gizmo,3,35.68
SL000118,Store04,Gadget,8,168.86
SL000119,Store03,Nut,12,40.07
SL000120,Store02,Widget,-1,23.62
SL000121,Store03,Sprocket,11,52.53
SL000122,Store04,Bolt,5,175.5
SL000123,Store03,Gadget,two,78.74
SL000124,Store01,Sprocket,11,47.3
SL000125,Store01,Widget,6,192.06
SL000126,Store01,Doohickey,5,105.25
SL000127,Store04,Bolt,-5,152.25
SL000128,Store02,Sprocket,5,88.18
SL000129,Store03,Doohickey,6,178.59
SL000130,Store01,Gizmo,10,38.94
SL000131,Store01,Gadget,2,165.02
SL000132,Store02,Cog,2,46.3
SL000133,Store01,Widget,8,33.53
SL000134,Store02,Gadget,7,118.73
SL000135,Store02,Sprocket,8,69.33
SL000136,Store04,Doohickey,two,52.22
SL000137,Store03,Cog,3,56.98
SL000138,Store03,Bolt,9,128.43
SL000139,Store03,Doohickey,9,21.71
SL000140,Store02,Sprocket,6,148.55
SL000141,Store03,Doohickey,two,170.39
SL000142,Store02,Bolt,two,6.81
SL000143,Store02,Widget,9,4.68
SL000144,Store02,Gadget,two,70.87
SL000145,Store04,Doohickey,2,13.54
SL000146,Store01,Widget,12,23.2
SL000147,Store03,Widget,12,146.99
SL000148,Store02,Nut,1,152.1
SL000149,Store01,Gadget,7,69.92
SL000150,Store04,Doohickey,2,131.8
SL000151,Store03,Nut,4,53.03
SL000152,Store03,Bolt,11,24.56
SL000153,Store03,Doohickey,7,50.32
SL000154,Store01,Doohickey,10,USD105.78
SL000155,Store03,Widget,10,192.98
SL000156,Store03,Gadget,11,77.02
SL000157,Store03,Gizmo,11,74.77
SL000158,Store01,Gadget,6,42.99
SL000159,Store01,Cog,2,131.67
SL000160,Store03,Cog,2,182.24
SL000161,Store01,Doohickey,10,6.46
SL000162,Store01,Gizmo,3,33.01
SL000163,Store02,Gadget,12,35.1
SL000164,Store03,Nut,8,75.55
SL000165,Store03,Widget,1,88.19
SL000166,Store02,Cog,10,191.71
SL000167,Store01,Gadget,12,123.09
SL000168,Store01,Sprocket,12,113.69
SL000169,Store01,Widget,two,141.55
SL000170,Store02,Doohickey,5,14.72
SL000171,Store02,Widget,9,180.31
SL000172,Store04,Doohickey,3,147.8
SL000173,Store03,Gizmo,5,95.55
SL000174,Store03,Widget,2,125.06
SL000175,Store04,Nut,11,176.47
SL000176,Store01,Bolt,two,114.79
SL000177,Store03,Doohickey,2,170.42
SL000178,Store03,Sprocket,3,USD124.88
SL000179,Store02,Cog,2,35.83
SL000180,Store02,Gadget,2,8.0
SL000181,Store01,Nut,6,122.39
SL000182,Store02,Bolt,12,76.84
SL000183,Store02,Doohickey,1,40.79
SL000184,Store01,Sprocket,two,33.07
SL000185,Store02,Sprocket,-2,106.23
SL000186,Store01,Bolt,11,148.8
SL000187,Store02,Nut,2,37.88
SL000188,Store03,Doohickey,11,4.62
SL000189,Store02,Gadget,5,55.92
SL000190,Store02,Widget,10,62.5
SL000191,Store01,Widget,4,USD12.41
SL000192,Store02,Bolt,10,187.71
SL000193,Store03,Doohickey,-1,142.27
SL000194,Store04,Gizmo,10,18.15
SL000195,Store01,Cog,9,34.88
SL000196,Store04,Doohickey,8,53.38
SL000197,Store03,Nut,two,46.62
SL000198,Store02,Nut,3,37.61
SL000199,Store03,Gadget,3,105.0
SL000200,Store02,Widget,6,2.18
SL000201,Store01,Doohickey,6,174.63
SL000202,Store02,Gizmo,6,4.39
SL000203,Store02,Bolt,two,87.9
SL000204,Store03,Doohickey,9,130.21
SL000205,Store02,Bolt,11,50.53
SL000206,Store01,Widget,6,85.63
SL000207,Store03,Nut,11,181.01
SL000208,Store03,Bolt,12,103.34
SL000209,Store04,Sprocket,8,108.06
SL000210,Store04,Gadget,4,160.84
SL000211,Store03,Bolt,10,187.58
SL000212,Store04,Doohickey,two,178.05
SL000213,Store01,Gizmo,9,78.96
SL000214,Store03,Bolt,1,74.08
SL000215,Store02,Bolt,9,148.39
SL000216,Store04,Nut,8,172.55
SL000217,Store02,Bolt,8,145.06
SL000218,Store03,Doohickey,11,21.12
SL000219,Store01,Cog,8,39.71
SL000220,Store04,Widget,2,15.81
SL000221,Store04,Bolt,two,90.64
SL000222,Store03,Doohickey,10,80.29
SL000223,Store04,Cog,6,68.83
SL000224,Store01,Doohickey,2,109.81
SL000225,Store01,Nut,4,105.97
SL000226,Store01,Widget,9,2.18
SL000227,Store03,Sprocket,9,64.41
SL000228,Store02,Widget,9,USD42.22
SL000229,Store02,Nut,2,84.95
SL000230,Store04,Cog,11,9.33
SL000231,Store03,Bolt,4,79.36
SL000232,Store02,Bolt,1,162.17
SL000233,Store02,Cog,9,USD128.16
SL000234,Store01,Bolt,6,165.45
SL000235,Store04,Widget,5,26.0
SL000236,Store03,Bolt,2,186.39
SL000237,Store04,Nut,3,178.64
SL000238,Store02,Nut,11,78.9
SL000239,Store04,Gizmo,10,103.15
SL000240,Store04,Widget,9,85.4
SL000241,Store01,Gadget,6,90.51
SL000242,Store03,Doohickey,11,51.88
SL000243,Store02,Gizmo,two,84.06
SL000244,Store03,Bolt,11,61.48
SL000245,Store03,Bolt,1,174.41
SL000246,Store02,Gizmo,3,154.78
SL000247,Store03,Doohickey,two,166.71
SL000248,Store02,Widget,1,123.95
SL000249,Store03,Gadget,3,105.44
SL000250,Store01,Sprocket,5,173.79
SL000251,Store01,Cog,3,79.88
SL000252,Store04,Gadget,5,199.22
SL000253,Store02,Doohickey,5,USD5.44
SL000254,Store04,Sprocket,two,67.32
SL000255,Store01,Cog,4,52.14
SL000256,Store03,Nut,10,99.03
SL000257,Store04,Bolt,3,64.25
SL000258,Store03,Bolt,12,73.31
SL000259,Store01,Cog,4,129.92
SL000260,Store03,Nut,7,USD45.39
SL000261,Store01,Doohickey,-5,98.41
SL000262,Store03,Sprocket,12,48.29
SL000263,Store03,Gadget,5,54.5
SL000264,Store01,Cog,6,179.64
SL000265,Store04,Bolt,9,109.2
SL000266,Store02,Bolt,5,170.25
SL000267,Store04,Gizmo,8,124.88
SL000268,Store04,Cog,12,6.92
SL000269,Store01,Sprocket,9,64.47
SL000270,Store04,Cog,two,129.13
SL000271,Store04,Bolt,2,103.99
SL000272,Store04,Sprocket,2,131.37
SL000273,Store02,Gizmo,7,79.43
SL000274,Store04,Gizmo,6,67.1
SL000275,Store03,Widget,11,USD125.86
SL000276,Store01,Cog,5,USD69.35
SL000277,Store01,Bolt,6,72.29
SL000278,Store03,Cog,9,184.95
SL000279,Store02,Gadget,8,187.23
SL000280,Store01,Cog,10,50.14
SL000281,Store03,Gadget,1,71.8
SL000282,Store01,Nut,3,140.4
SL000283,Store04,Gizmo,12,59.75
SL000284,Store03,Cog,11,122.82
SL000285,Store02,Cog,two,57.09
SL000286,Store02,Gadget,2,13.52
SL000287,Store01,Gadget,two,61.59
SL000288,Store03,Bolt,4,123.65
SL000289,Store03,Bolt,5,37.83
SL000290,Store03,Nut,two,101.3
SL000291,Store03,Doohickey,3,44.56
SL000292,Store03,Gadget,7,144.17
SL000293,Store02,Gadget,6,90.37
SL000294,Store03,Sprocket,4,162.62
SL000295,Store03,Doohickey,6,50.83
SL000296,Store02,Cog,4,139.56
SL000297,Store01,Gadget,4,17.57
SL000298,Store03,Widget,-2,155.87
SL000299,Store03,Nut,two,94.14
SL000300,Store02,Gizmo,11,103.29
SL000301,Store03,Doohickey,8,131.8
SL000302,Store03,Bolt,5,127.18
SL000303,Store03,Gizmo,2,103.9
SL000304,Store02,Bolt,11,68.39
SL000305,Store04,Nut,9,USD149.85
SL000306,Store03,Nut,10,107.45
SL000307,Store01,Nut,5,114.48
SL000308,Store04,Sprocket,-3,7.28
SL000309,Store02,Gadget,8,81.03
SL000310,Store02,Cog,5,79.14
SL000311,Store02,Gizmo,9,89.96
SL000312,Store04,Cog,5,USD162.5
SL000313,Store04,Gadget,12,109.39
SL000314,Store04,Gadget,3,126.12
SL000315,Store02,Cog,-2,157.78
SL000316,Store04,Gizmo,-5,81.56
SL000317,Store03,Cog,4,103.33
SL000318,Store02,Sprocket,3,106.97
SL000319,Store02,Cog,2,31.36
SL000320,Store01,Doohickey,9,63.39
SL000321,Store03,Gizmo,4,121.02
SL000322,Store02,Doohickey,9,48.56
SL000323,Store03,Sprocket,12,10.04
SL000324,Store04,Sprocket,7,100.32
SL000325,Store02,Doohickey,4,33.7
SL000326,Store03,Doohickey,12,USD124.3
SL000327,Store04,Bolt,8,145.06
SL000328,Store04,Gizmo,4,185.66
SL000329,Store03,Cog,4,107.51
SL000330,Store04,Cog,12,178.59
SL000331,Store02,Cog,2,39.79
SL000332,Store04,Bolt,5,189.8
SL000333,Store01,Gizmo,9,88.75
SL000334,Store01,Widget,10,USD174.63
SL000335,Store04,Gadget,10,160.39
SL000336,Store01,Nut,two,75.03
SL000337,Store03,Cog,3,43.58
SL000338,Store01,Nut,10,82.75
SL000339,Store03,Gadget,2,33.07
SL000340,Store01,Nut,1,144.08
SL000341,Store03,Bolt,3,182.94
SL000342,Store01,Doohickey,2,USD188.41
SL000343,Store03,Widget,7,75.1
SL000344,Store04,Bolt,10,183.53
SL000345,Store01,Cog,8,121.67
SL000346,Store03,Nut,4,163.67
SL000347,Store04,Cog,-3,105.18
SL000348,Store04,Nut,9,138.85
SL000349,Store04,Nut,7,38.61
SL000350,Store04,Doohickey,6,USD156.03
SL000351,Store03,Doohickey,12,89.79
SL000352,Store03,Cog,2,19.7
SL000353,Store01,Gizmo,1,91.08
SL000354,Store03,Widget,1,59.87
SL000355,Store04,Gadget,12,123.26
SL000356,Store04,Bolt,7,14.76
SL000357,Store02,Sprocket,12,151.49
SL000358,Store02,Doohickey,2,121.38
SL000359,Store04,Nut,2,67.59
SL000360,Store01,Nut,two,151.74
SL000361,Store03,Cog,8,149.14
SL000362,Store03,Bolt,10,198.92
SL000363,Store03,Gizmo,2,126.87
SL000364,Store04,Gadget,3,104.52
SL000365,Store02,Sprocket,11,101.76
SL000366,Store02,Doohickey,6,73.42
SL000367,Store04,Sprocket,6,159.05
SL000368,Store04,Gadget,7,56.18
SL000369,Store03,Bolt,two,127.54
SL000370,Store04,Doohickey,4,180.87
SL000371,Store01,Gizmo,4,75.47
SL000372,Store03,Nut,5,USD73.56
SL000373,Store04,Widget,10,2.97
SL000374,Store04,Nut,3,28.73
SL000375,Store04,Gadget,7,32.02
SL000376,Store02,Bolt,11,113.56
SL000377,Store01,Sprocket,3,38.13
SL000378,Store03,Gadget,4,11.22
SL000379,Store01,Widget,3,175.88
SL000380,Store03,Gadget,5,USD168.6
SL000381,Store03,Gadget,6,121.18
SL000382,Store03,Widget,4,22.92
SL000383,Store01,Cog,11,95.77
SL000384,Store03,Gizmo,5,47.17
SL000385,Store03,Cog,9,36.62
SL000386,Store02,Sprocket,1,54.42
SL000387,Store04,Sprocket,2,28.01
SL000388,Store03,Cog,-5,73.2
SL000389,Store03,Bolt,1,172.38
SL000390,Store03,Gizmo,two,75.92
SL000391,Store01,Gadget,7,150.82
SL000392,Store01,Bolt,10,8.53
SL000393,Store01,Doohickey,11,174.56
SL000394,Store02,Doohickey,9,66.75
SL000395,Store04,Widget,2,16.48
SL000396,Store03,Cog,2,20.02
SL000397,Store01,Bolt,two,22.77
SL000398,Store04,Nut,7,48.53
SL000399,Store02,Gizmo,5,10.38
SL000400,Store01,Doohickey,12,14.45
SL000401,Store02,Cog,10,167.21
SL000402,Store02,Gizmo,12,75.7
SL000403,Store03,Sprocket,6,12.25
SL000404,Store04,Bolt,6,150.43
SL000405,Store02,Cog,7,12.74
SL000406,Store01,Gadget,2,1.25
SL000407,Store04,Doohickey,6,24.69
SL000408,Store02,Gizmo,8,74.73
SL000409,Store02,Doohickey,11,45.7
SL000410,Store02,Gadget,7,34.09
SL000411,Store01,Gizmo,6,97.09
SL000412,Store04,Sprocket,10,USD195.12
SL000413,Store03,Nut,10,20.22
SL000414,Store02,Gadget,7,182.43
SL000415,Store02,Sprocket,11,2.08
SL000416,Store04,Cog,9,48.65
SL000417,Store02,Sprocket,1,108.59
SL000418,Store01,Nut,8,195.32
SL000419,Store02,Cog,3,9.19
SL000420,Store01,Widget,6,122.35
SL000421,Store02,Nut,-2,183.28
SL000422,Store04,Sprocket,6,109.7
SL000423,Store01,Gizmo,3,79.86
SL000424,Store02,Gizmo,3,79.89
SL000425,Store02,Bolt,two,131.7
SL000426,Store03,Nut,10,134.15
SL000427,Store02,Cog,11,102.15
SL000428,Store03,Sprocket,1,125.52
SL000429,Store03,Cog,8,140.39
SL000430,Store02,Cog,8,143.0
SL000431,Store02,Sprocket,10,93.87
SL000432,Store02,Cog,7,42.28
SL000433,Store03,Gadget,3,176.74
SL000434,Store01,Cog,3,76.79
SL000435,Store01,Sprocket,12,193.69
SL000436,Store03,Gadget,1,80.34
SL000437,Store02,Cog,7,154.79
SL000438,Store01,Widget,11,106.01
SL000439,Store04,Bolt,-4,193.03
SL000440,Store01,Nut,-5,47.41
SL000441,Store01,Nut,4,3.37
SL000442,Store03,Cog,7,37.44
SL000443,Store04,Cog,10,192.74
SL000444,Store04,Nut,8,173.06
SL000445,Store01,Doohickey,1,175.83
SL000446,Store01,Gizmo,3,155.35
SL000447,Store01,Cog,1,159.08
SL000448,Store01,Bolt,6,92.6
SL000449,Store02,Widget,10,USD171.01
SL000450,Store01,Cog,8,37.45
SL000451,Store02,Bolt,5,61.29
SL000452,Store02,Gadget,3,74.73
SL000453,Store03,Widget,two,51.78
SL000454,Store03,Nut,8,89.77
SL000455,Store02,Bolt,-2,122.89
SL000456,Store03,Cog,4,171.23
SL000457,Store04,Cog,-2,119.82
SL000458,Store02,Cog,1,148.2
SL000459,Store01,Bolt,8,95.75
SL000460,Store03,Bolt,12,12.92
SL000461,Store01,Sprocket,5,55.64
SL000462,Store03,Sprocket,11,128.45
SL000463,Store04,Bolt,11,92.79
SL000464,Store02,Doohickey,3,4.52
SL000465,Store03,Bolt,10,78.94
SL000466,Store04,Widget,4,28.42
SL000467,Store03,Gizmo,11,121.51
SL000468,Store02,Gizmo,7,59.25
SL000469,Store04,Bolt,8,5.8
SL000470,Store01,Gadget,5,25.74
SL000471,Store02,Nut,6,79.34
SL000472,Store02,Gizmo,two,108.45
SL000473,Store02,Sprocket,two,167.58
SL000474,Store04,Cog,12,91.21
SL000475,Store04,Gadget,two,179.01
SL000476,Store01,Nut,4,175.49
SL000477,Store03,Widget,3,79.98
SL000478,Store03,Gizmo,6,163.87
SL000479,Store01,Cog,1,166.86
SL000480,Store03,Nut,7,145.47
SL000481,Store04,Bolt,3,10.85
SL000482,Store03,Cog,1,142.87
SL000483,Store04,Bolt,5,120.67
SL000484,Store02,Widget,5,USD191.44
SL000485,Store04,Sprocket,9,21.47
SL000486,Store04,Sprocket,8,146.76
SL000487,Store03,Bolt,12,25.49
SL000488,Store03,Cog,8,94.23
SL000489,Store04,Gadget,12,37.28
SL000490,Store02,Cog,1,USD76.8
SL000491,Store04,Doohickey,2,154.01
SL000492,Store03,Bolt,7,65.07
SL000493,Store03,Doohickey,7,109.9
SL000494,Store04,Cog,9,USD104.33
SL000495,Store04,Widget,two,181.28
SL000496,Store01,Gizmo,10,139.85
SL000497,Store03,Nut,6,199.47
SL000498,Store01,Gadget,5,121.02
SL000499,Store04,Bolt,8,85.42
SL000500,Store02,Cog,3,30.58
SL000501,Store01,Sprocket,3,192.41
SL000502,Store03,Doohickey,2,51.86
SL000503,Store02,Sprocket,4,145.72
SL000504,Store04,Cog,two,18.92
SL000505,Store03,Gizmo,two,85.24
SL000506,Store02,Cog,two,107.96
SL000507,Store03,Widget,3,92.05
SL000508,Store02,Widget,6,46.67
SL000509,Store04,Gizmo,3,79.36
SL000510,Store01,Doohickey,9,94.17
SL000511,Store03,Sprocket,4,162.01
SL000512,Store03,Bolt,two,163.62
SL000513,Store03,Gadget,5,77.24
SL000514,Store04,Gizmo,-3,85.75
SL000515,Store01,Cog,5,104.76
SL000516,Store02,Sprocket,11,19.37
SL000517,Store03,Nut,10,7.97
SL000518,Store04,Gizmo,3,134.52
SL000519,Store03,Sprocket,8,134.03
SL000520,Store04,Gadget,7,178.4
SL000521,Store02,Widget,1,145.51
SL000522,Store03,Cog,-3,85.6
SL000523,Store04,Cog,5,132.06
SL000524,Store01,Doohickey,7,51.2
SL000525,Store04,Widget,3,141.99
SL000526,Store03,Doohickey,9,133.8
SL000527,Store03,Widget,4,32.87
SL000528,Store03,Gadget,12,10.28
SL000529,Store02,Nut,5,67.88
SL000530,Store03,Widget,6,111.86
SL000531,Store03,Doohickey,1,25.36
SL000532,Store01,Sprocket,3,161.82
SL000533,Store02,Gadget,4,180.79
SL000534,Store03,Gadget,6,52.38
SL000535,Store04,Cog,11,USD133.42
SL000536,Store01,Doohickey,11,193.85
SL000537,Store02,Doohickey,6,25.24
SL000538,Store03,Doohickey,two,189.08
SL000539,Store03,Bolt,2,120.95
SL000540,Store01,Bolt,5,166.44
SL000541,Store01,Nut,11,82.12
SL000542,Store03,Widget,9,77.2
SL000543,Store03,Cog,7,65.17
SL000544,Store03,Doohickey,2,38.3
SL000545,Store04,Cog,two,79.56
SL000546,Store01,Nut,6,192.93
SL000547,Store03,Sprocket,2,27.43
SL000548,Store01,Bolt,-4,64.64
SL000549,Store01,Gadget,5,105.38
SL000550,Store04,Nut,4,143.03
SL000551,Store01,Doohickey,two,71.74
SL000552,Store02,Nut,1,58.16
SL000553,Store02,Sprocket,7,131.79
SL000554,Store01,Cog,7,56.67
SL000555,Store03,Cog,3,USD192.75
SL000556,Store04,Widget,9,11.59
SL000557,Store03,Cog,1,123.89
SL000558,Store04,Bolt,10,173.9
SL000559,Store01,Gizmo,two,61.64
SL000560,Store01,Gizmo,-1,191.11
SL000561,Store02,Bolt,7,34.22
SL000562,Store01,Doohickey,8,USD30.37
SL000563,Store04,Doohickey,6,165.44
SL000564,Store04,Cog,4,25.69
SL000565,Store03,Cog,2,15.28
SL000566,Store03,Nut,6,152.09
SL000567,Store04,Sprocket,11,185.1
SL000568,Store04,Sprocket,12,178.95
SL000569,Store04,Gizmo,11,99.83
SL000570,Store03,Doohickey,9,179.72
SL000571,Store03,Widget,7,53.51
SL000572,Store02,Doohickey,8,61.0
SL000573,Store01,Doohickey,6,USD193.53
SL000574,Store04,Gizmo,6,11.59
SL000575,Store02,Widget,1,186.75
SL000576,Store03,Bolt,7,15.63
SL000577,Store03,Widget,4,111.46
SL000578,Store01,Sprocket,4,178.16
SL000579,Store04,Cog,5,113.66
SL000580,Store04,Cog,5,172.44
SL000581,Store03,Gizmo,6,152.11
SL000582,Store04,Cog,8,67.14
SL000583,Store02,Gizmo,10,129.98
SL000584,Store01,Cog,12,5.37
SL000585,Store01,Gizmo,11,123.55
SL000586,Store04,Cog,9,120.31
SL000587,Store01,Bolt,8,USD146.87
SL000588,Store03,Cog,1,USD189.99
SL000589,Store02,Gadget,7,193.94
