ClaimID,PolicyType,ClaimDate,Amount,Status,Region,Approved
CL00001,Auto,2025-10-05,27507.16,Open,West,N
CL00002,Health,2025-01-15,10879.1,Denied,West,Y
CL00003,Home,2025-08-17,41053.39,Open,South,Y
CL00004,Health,2025-05-18,17903.87,Denied,Central,Y
CL00005,Auto,2025-06-28,pending,Closed,Central,N
CL00006,Life,13/45/2025,13491.43,Denied,North,Y
CL00007,Travel,2025-08-10,13429.02,Denied,North,N
CL00008,Auto,2025-09-07,pending,Open,North,N
CL00009,Home,13/45/2025,4104.83,Pending,Central,N
CL00010,Home,2025-03-22,1149.23,Pending,Central,N
CL00011,Life,2025-06-14,49532.38,Pending,West,N
CL00012,Life,13/45/2025,37451.33,Denied,Central,Y
CL00013,Life,2025-12-09,15464.17,Open,North,N
CL00014,Travel,2025-04-24,298.91,Closed,Central,Y
CL00015,Auto,2025-05-25,pending,Pending,East,Y
CL00016,Health,2025-04-26,4931.41,Open,Central,N
CL00017,Life,2025-01-20,2230.45,Closed,West,Y
CL00018,Health,2025-08-03,3882.28,Closed,South,Y
CL00019,Travel,2025-11-09,pending,Closed,South,Y
CL00020,Auto,2025-07-17,4153.01,Denied,Central,N
CL00021,Life,2025-01-04,30521.15,Denied,North,N
CL00022,Auto,2025-02-19,9217.34,Denied,East,Y
CL00023,Life,2025-06-10,24798.66,Pending,Central,Y
CL00024,Health,13/45/2025,36478.35,Pending,Central,Y
CL00025,Life,2025-10-08,41486.31,Denied,East,N
CL00026,Auto,2025-03-21,1310.61,Open,East,Y
CL00027,Auto,2025-05-19,21722.45,Closed,Central,Y
CL00028,Life,2025-03-26,29390.59,Denied,North,Y
CL00029,Life,2025/06/31,45635.32,Closed,West,Y
CL00030,Home,2025-11-18,16462.23,Closed,North,Y
CL00031,Travel,13/45/2025,7659.75,Closed,Central,N
CL00032,Health,2025/06/31,22011.2,Open,East,Y
CL00033,Health,2025-09-26,13764.27,Denied,South,Y
CL00034,Auto,2025-11-14,12835.11,Denied,North,Y
CL00035,Auto,2025-06-07,10006.82,Open,West,Y
CL00036,Auto,2025-06-27,19960.14,Pending,South,N
CL00037,Travel,2025-11-24,25721.38,Pending,South,N
CL00038,Life,2025-03-25,9746.69,Denied,West,N
CL00039,Life,2025-09-21,21827.6,Denied,North,N
CL00040,Travel,13/45/2025,37550.81,Open,East,N
