Respondent,Demographics,Demographics,Demographics,Satisfaction,Satisfaction,Satisfaction,Loyalty,Loyalty,Meta
ID,Age,Gender,Region,Product,Service,Support,WouldRecommend,RepeatBuyer,SurveyDate
R00001,20,M,West,5,2,4,Yes,No,2025-03-11
R00002,18,PreferNot,East,3,1,4,Yes,No,2025-08-08
R00003,37,M,East,1,1,5,Yes,Yes,2025-08-03
R00004,48,M,East,5,3,2,Yes,Yes,2025-06-18
R00005,41,Nonbinary,North,3,3,2,No,No,2025-07-20
R00006,58,M,North,1,2,1,No,Yes,2025-02-05
R00007,77,M,Central,1,5,3,No,No,2025-09-04
R00008,18,F,East,3,1,1,Yes,Yes,2025-12-11
R00009,28,M,West,4,2,3,Yes,No,2025-10-16
R00010,77,M,East,2,5,1,No,Yes,2025-12-05
R00011,32,F,East,4,5,5,No,Yes,2025-02-26
R00012,23,M,West,4,1,2,Yes,No,2025-09-13
R00013,79,M,South,3,5,4,Yes,Yes,2025-12-28
R00014,56,Nonbinary,West,4,5,2,Yes,Yes,2025-08-11
R00015,47,Nonbinary,South,2,1,5,No,Yes,2025-06-05
R00016,42,F,East,2,4,3,No,Yes,2025-12-03
R00017,53,F,East,4,1,5,Yes,Yes,2025-05-28
R00018,27,PreferNot,Central,1,2,4,No,Yes,2025-05-12
R00019,40,F,East,4,1,2,No,Yes,2025-04-19
R00020,39,Nonbinary,East,2,1,1,No,No,2025-09-18
R00021,73,M,East,1,5,5,Yes,Yes,2025-11-05
R00022,78,Nonbinary,West,2,4,4,Yes,No,2025-03-06
R00023,22,Nonbinary,North,2,2,1,No,Yes,2025-10-25
R00024,26,M,South,2,3,2,Yes,Yes,2025-02-11
R00025,18,PreferNot,West,4,4,1,No,No,2025-11-08
R00026,63,PreferNot,North,3,1,4,No,Yes,2025-08-15
R00027,33,F,North,4,5,5,No,Yes,2025-10-26
R00028,80,M,North,3,2,2,Yes,No,2025-02-09
R00029,67,PreferNot,Central,2,3,3,Yes,Yes,2025-02-23
R00030,39,F,East,2,5,5,No,Yes,2025-03-01
R00031,53,M,North,1,3,1,No,No,2025-03-27
R00032,22,PreferNot,West,5,4,2,Yes,No,2025-09-21
R00033,78,Nonbinary,North,4,3,2,No,Yes,2025-10-25
R00034,64,F,Central,4,3,3,No,Yes,2025-03-05
R00035,52,Nonbinary,North,4,4,2,Yes,No,2025-03-12
R00036,49,PreferNot,West,4,4,2,Yes,No,2025-10-02
R00037,46,Nonbinary,South,2,2,2,Yes,No,2025-09-07
R00038,31,PreferNot,Central,4,2,5,Yes,No,2025-02-03
R00039,28,Nonbinary,South,2,5,3,No,No,2025-02-17
R00040,57,PreferNot,East,4,3,2,No,Yes,2025-01-11
R00041,21,Nonbinary,South,2,3,5,Yes,Yes,2025-02-11
R00042,20,F,East,5,4,1,Yes,Yes,2025-09-10
R00043,63,Nonbinary,Central,5,5,3,No,No,2025-06-16
R00044,55,M,East,3,3,2,No,Yes,2025-01-21
R00045,51,F,Central,5,5,1,Yes,No,2025-10-28
R00046,29,M,North,4,1,2,Yes,Yes,2025-12-05
R00047,54,PreferNot,East,4,1,2,No,Yes,2025-03-15
R00048,40,PreferNot,East,3,2,3,No,Yes,2025-07-20
R00049,41,PreferNot,South,2,5,1,Yes,No,2025-11-25
R00050,46,Nonbinary,West,2,2,2,Yes,Yes,2025-01-13
R00051,46,Nonbinary,West,5,3,1,No,No,2025-01-13
R00052,45,F,East,4,4,5,Yes,No,2025-07-12
R00053,68,Nonbinary,East,2,4,5,No,No,2025-09-05
R00054,51,Nonbinary,Central,5,5,4,No,Yes,2025-10-09
R00055,47,Nonbinary,West,3,2,4,Yes,Yes,2025-05-26
R00056,34,Nonbinary,West,1,1,1,No,No,2025-02-18
R00057,27,Nonbinary,West,3,3,4,Yes,Yes,2025-03-01
R00058,62,PreferNot,North,3,2,3,No,No,2025-08-21
R00059,18,Nonbinary,South,5,2,4,No,Yes,2025-08-16
R00060,45,F,North,3,4,1,No,No,2025-02-12
R00061,33,Nonbinary,West,1,5,1,Yes,Yes,2025-10-13
R00062,28,M,South,1,1,5,Yes,No,2025-03-10
R00063,42,PreferNot,West,4,1,5,No,Yes,2025-02-21
R00064,50,Nonbinary,West,5,4,5,Yes,Yes,2025-12-14
R00065,25,Nonbinary,West,3,3,3,Yes,No,2025-06-13
R00066,59,PreferNot,East,1,3,1,Yes,Yes,2025-01-04
R00067,75,Nonbinary,East,3,1,4,No,No,2025-09-07
R00068,61,PreferNot,East,4,5,2,No,Yes,2025-08-21
R00069,50,PreferNot,Central,1,2,1,Yes,No,2025-05-16
R00070,56,PreferNot,North,1,3,1,No,No,2025-06-08
R00071,79,M,East,1,1,3,No,Yes,2025-06-23
R00072,36,M,Central,4,3,4,Yes,Yes,2025-10-17
R00073,40,M,North,3,2,4,Yes,No,2025-10-02
R00074,77,PreferNot,West,5,4,2,No,Yes,2025-08-20
R00075,67,Nonbinary,Central,2,1,2,No,Yes,2025-10-04
R00076,44,PreferNot,South,3,5,1,Yes,Yes,2025-06-07
R00077,29,Nonbinary,West,4,2,2,Yes,No,2025-01-13
R00078,78,Nonbinary,South,2,2,5,No,Yes,2025-05-12
R00079,30,F,North,2,4,4,Yes,No,2025-06-24
R00080,55,Nonbinary,West,5,1,2,No,No,2025-12-05
R00081,30,M,West,3,2,4,No,Yes,2025-05-27
R00082,41,F,East,2,4,3,Yes,Yes,2025-05-04
R00083,37,M,West,5,5,1,Yes,Yes,2025-02-22
R00084,65,PreferNot,Central,1,1,5,Yes,No,2025-05-19
R00085,28,F,West,3,5,2,No,Yes,2025-07-05
R00086,51,PreferNot,South,3,3,3,No,No,2025-03-28
R00087,49,F,North,4,4,5,Yes,No,2025-05-06
R00088,54,Nonbinary,North,3,5,4,Yes,No,2025-06-22
R00089,70,PreferNot,North,3,5,4,No,No,2025-08-06
R00090,69,PreferNot,North,2,5,4,Yes,No,2025-04-27
R00091,76,Nonbinary,South,3,3,5,Yes,Yes,2025-08-25
R00092,34,M,North,5,4,5,No,No,2025-11-05
R00093,57,Nonbinary,West,1,3,5,Yes,No,2025-06-11
R00094,66,PreferNot,South,4,1,4,Yes,No,2025-12-27
R00095,48,PreferNot,East,3,3,2,No,Yes,2025-06-16
R00096,64,F,East,4,1,1,Yes,Yes,2025-02-13
R00097,45,F,East,3,3,3,No,No,2025-03-01
R00098,29,PreferNot,East,1,5,2,Yes,No,2025-03-09
R00099,31,M,West,2,3,5,Yes,No,2025-11-12
R00100,64,PreferNot,West,5,4,1,No,Yes,2025-09-01
R00101,34,PreferNot,East,1,5,4,No,No,2025-04-03
R00102,29,M,Central,1,2,3,Yes,Yes,2025-03-27
R00103,79,Nonbinary,South,5,5,1,No,No,2025-11-11
R00104,22,M,Central,1,1,4,No,Yes,2025-10-12
R00105,62,M,Central,3,5,1,Yes,No,2025-11-26
R00106,72,Nonbinary,West,5,4,2,Yes,No,2025-04-21
R00107,50,M,South,1,2,3,Yes,Yes,2025-01-17
R00108,37,M,East,1,2,3,Yes,Yes,2025-05-05
R00109,23,F,Central,2,3,5,No,No,2025-05-05
R00110,72,M,West,3,5,2,Yes,Yes,2025-07-06
R00111,42,M,North,2,4,5,Yes,Yes,2025-01-27
R00112,66,M,East,3,1,4,No,Yes,2025-08-04
R00113,65,M,Central,4,1,2,Yes,No,2025-11-24
R00114,59,Nonbinary,East,3,4,3,Yes,Yes,2025-03-03
R00115,56,PreferNot,East,1,4,3,Yes,No,2025-04-22
R00116,80,PreferNot,North,1,4,4,Yes,Yes,2025-10-28
R00117,37,F,Central,5,2,1,Yes,Yes,2025-10-13
R00118,19,M,East,5,1,2,No,No,2025-06-01
R00119,77,PreferNot,North,3,5,1,No,No,2025-01-05
R00120,39,PreferNot,South,5,2,2,No,No,2025-06-15
R00121,38,F,Central,2,5,5,Yes,Yes,2025-08-13
R00122,25,F,East,2,2,4,Yes,Yes,2025-01-16
R00123,34,PreferNot,West,5,5,4,Yes,Yes,2025-01-19
R00124,38,PreferNot,West,2,1,1,Yes,Yes,2025-05-01
R00125,66,F,North,2,1,1,Yes,No,2025-12-05
R00126,34,F,East,5,3,2,No,Yes,2025-07-07
R00127,51,PreferNot,South,1,1,1,No,No,2025-07-23
R00128,19,M,West,2,2,1,Yes,No,2025-05-24
R00129,38,PreferNot,East,1,2,4,No,Yes,2025-06-21
R00130,77,PreferNot,West,1,5,2,Yes,No,2025-05-27
R00131,59,Nonbinary,North,5,1,1,Yes,No,2025-07-17
R00132,59,F,West,4,3,5,Yes,Yes,2025-02-12
R00133,61,Nonbinary,South,2,4,2,No,No,2025-04-01
R00134,33,PreferNot,East,4,1,2,No,No,2025-11-05
R00135,35,F,West,3,4,5,No,No,2025-12-28
R00136,72,M,North,1,3,5,Yes,Yes,2025-02-09
R00137,70,F,North,2,3,5,Yes,No,2025-04-28
R00138,25,Nonbinary,West,4,4,3,Yes,Yes,2025-01-08
R00139,30,PreferNot,East,5,3,4,No,Yes,2025-11-08
R00140,76,Nonbinary,Central,3,3,4,No,Yes,2025-08-26
R00141,32,PreferNot,East,1,1,3,No,Yes,2025-11-20
R00142,45,F,North,2,2,4,Yes,Yes,2025-10-04
R00143,65,F,Central,5,2,5,No,Yes,2025-01-08
R00144,44,Nonbinary,North,4,3,5,No,Yes,2025-01-25
R00145,78,Nonbinary,South,2,5,5,Yes,No,2025-01-01
R00146,60,F,East,2,3,2,No,No,2025-08-27
R00147,60,F,West,5,5,5,Yes,Yes,2025-08-12
R00148,66,F,East,1,3,3,Yes,No,2025-10-25
R00149,35,M,Central,5,1,5,No,No,2025-08-17
R00150,41,PreferNot,South,5,2,2,Yes,No,2025-03-11
R00151,57,M,North,3,3,5,No,No,2025-03-14
R00152,21,Nonbinary,South,4,4,4,No,No,2025-06-19
R00153,46,F,Central,1,3,2,Yes,Yes,2025-10-14
R00154,47,PreferNot,Central,1,4,5,No,Yes,2025-05-09
R00155,29,M,Central,2,5,1,No,Yes,2025-04-05
R00156,46,PreferNot,Central,2,2,3,Yes,No,2025-07-05
