SKU,Attr01,Attr02,Attr03,Attr04,Attr05,Attr06,Attr07,Attr08,Attr09,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49
SKU000001,XL,WarehouseB,LowStock,Supplier3,324,Large,WarehouseC,InStock,Supplier3,366,Medium,WarehouseC,InStock,Supplier1,151,Medium,WarehouseA,OutOfStock,Supplier4,426,Large,WarehouseB,LowStock,Supplier3,378,Large,WarehouseA,OutOfStock,Supplier3,233,Medium,WarehouseB,InStock,Supplier4,206,XL,WarehouseB,LowStock,Supplier1,155,Small,WarehouseA,OutOfStock,Supplier3,435,Large,WarehouseB,LowStock,Supplier1
SKU000002,Small,WarehouseA,OutOfStock,Supplier4,197,Medium,WarehouseC,OutOfStock,Supplier4,490,XL,WarehouseA,InStock,Supplier4,491,Small,WarehouseA,LowStock,Supplier3,188,Medium,WarehouseB,LowStock,Supplier2,466,Medium,WarehouseA,InStock,Supplier1,320,Small,WarehouseC,LowStock,Supplier3,443,Large,WarehouseC,LowStock,Supplier2,432,Medium,WarehouseA,LowStock,Supplier2,109,Small,WarehouseB,OutOfStock,Supplier2
SKU000003,Large,WarehouseB,OutOfStock,Supplier2,173,XL,WarehouseA,OutOfStock,Supplier3,496,XL,WarehouseB,OutOfStock,Supplier3,285,XL,WarehouseC,OutOfStock,Supplier4,416,XL,WarehouseB,LowStock,Supplier2,4,XL,WarehouseC,InStock,Supplier2,332,XL,WarehouseB,InStock,Supplier4,172,Small,WarehouseB,OutOfStock,Supplier3,277,Small,WarehouseB,InStock,Supplier4,370,Medium,WarehouseA,LowStock,Supplier4
SKU000004,XL,WarehouseC,OutOfStock,Supplier1,317,XL,WarehouseC,LowStock,Supplier4,286,XL,WarehouseA,OutOfStock,Supplier1,313,XL,WarehouseB,OutOfStock,Supplier1,195,Small,WarehouseB,InStock,Supplier4,381,XL,WarehouseB,LowStock,Supplier3,95,Medium,WarehouseC,OutOfStock,Supplier1,126,Medium,WarehouseC,OutOfStock,Supplier3,26,Small,WarehouseC,LowStock,Supplier1,175,Large,WarehouseB,LowStock,Supplier4
SKU000005,Medium,WarehouseB,InStock,Supplier3,385,Small,WarehouseC,LowStock,Supplier4,437,Large,WarehouseC,OutOfStock,Supplier1,69,Small,WarehouseC,InStock,Supplier2,334,XL,WarehouseB,OutOfStock,Supplier4,357,Large,WarehouseB,InStock,Supplier4,483,Medium,WarehouseC,OutOfStock,Supplier3,492,Medium,WarehouseA,LowStock,Supplier4,251,XL,WarehouseC,LowStock,Supplier3,157,XL,WarehouseB,LowStock,Supplier1
SKU000006,XL,WarehouseA,InStock,Supplier2,69,Medium,WarehouseC,LowStock,Supplier2,122,Large,WarehouseB,OutOfStock,Supplier4,191,XL,WarehouseB,LowStock,Supplier1,53,Small,WarehouseB,OutOfStock,Supplier4,43,Medium,WarehouseC,InStock,Supplier3,21,Large,WarehouseA,LowStock,Supplier3,208,XL,WarehouseC,InStock,Supplier4,122,Medium,WarehouseB,InStock,Supplier4,44,Medium,WarehouseB,LowStock,Supplier2
SKU000007,Small,WarehouseA,InStock,Supplier3,454,Small,WarehouseB,OutOfStock,Supplier1,200,Medium,WarehouseC,OutOfStock,Supplier3,356,Small,WarehouseB,OutOfStock,Supplier1,110,Large,WarehouseC,InStock,Supplier4,415,Small,WarehouseC,LowStock,Supplier4,413,XL,WarehouseB,InStock,Supplier4,152,Medium,WarehouseB,OutOfStock,Supplier3,139,Small,WarehouseA,OutOfStock,Supplier2,493,Medium,WarehouseA,LowStock,Supplier2
SKU000008,Large,WarehouseC,LowStock,Supplier3,242,XL,WarehouseB,InStock,Supplier1,304,Large,WarehouseB,OutOfStock,Supplier2,104,Small,WarehouseB,LowStock,Supplier3,166,Small,WarehouseA,InStock,Supplier2,46,XL,WarehouseB,LowStock,Supplier1,331,XL,WarehouseA,InStock,Supplier2,204,XL,WarehouseC,LowStock,Supplier4,98,XL,WarehouseA,InStock,Supplier1,72,Medium,WarehouseA,OutOfStock,Supplier4
SKU000009,Small,WarehouseB,LowStock,Supplier1,372,Large,WarehouseA,InStock,Supplier2,202,Large,WarehouseA,LowStock,Supplier2,160,Small,WarehouseB,InStock,Supplier2,458,Medium,WarehouseB,OutOfStock,Supplier3,453,Small,WarehouseA,OutOfStock,Supplier3,11,Small,WarehouseC,LowStock,Supplier4,296,XL,WarehouseC,InStock,Supplier2,44,Large,WarehouseC,InStock,Supplier2,185,Large,WarehouseA,OutOfStock,Supplier4
SKU000010,XL,WarehouseC,InStock,Supplier2,321,Medium,WarehouseA,OutOfStock,Supplier1,210,XL,WarehouseA,OutOfStock,Supplier2,15,Large,WarehouseA,InStock,Supplier1,451,Large,WarehouseC,OutOfStock,Supplier3,54,XL,WarehouseC,LowStock,Supplier1,218,Small,WarehouseA,OutOfStock,Supplier4,259,Large,WarehouseB,OutOfStock,Supplier1,214,XL,WarehouseA,InStock,Supplier2,318,Small,WarehouseC,OutOfStock,Supplier4
